date,ticker,open,high,low,close,volume
2026-07-09,000150,1285000,1318000,1160000,1203000,121708
2026-07-09,000270,156700,156900,144400,144800,1333578
2026-07-09,000660,2228000,2270000,2091000,2186000,5615826
2026-07-09,000720,99500,102500,96400,98900,818799
2026-07-09,000810,658000,677000,599000,622000,189086
2026-07-09,000880,93400,95100,87100,91600,286446
2026-07-09,003230,1180000,1190000,1084000,1103000,45418
2026-07-09,003490,27800,27900,26400,26700,4046382
2026-07-09,003550,103500,104300,97200,101300,555287
2026-07-09,003670,145100,153000,142000,146000,618100
2026-07-09,004170,626000,640000,588000,606000,106432
2026-07-09,005380,460000,463500,433500,445500,1131600
2026-07-09,005385,212000,212500,199500,201500,141304
2026-07-09,005387,211000,212500,199600,200000,187809
2026-07-09,005490,306000,310000,292000,297000,444238
2026-07-09,005830,154900,154900,146000,146500,276344
2026-07-09,005930,288500,291500,267500,278000,28796159
2026-07-09,005935,193000,197500,182100,185600,3281438
2026-07-09,005940,30800,31200,28450,29250,770807
2026-07-09,006260,308000,327500,304500,313500,200187
2026-07-09,006400,414000,420500,390000,401500,595813
2026-07-09,006800,40150,41100,38300,40250,2680176
2026-07-09,007660,88600,92000,85500,91800,903303
2026-07-09,009150,1552000,1586000,1418000,1493000,977276
2026-07-09,009540,347500,349500,324500,327500,269685
2026-07-09,010120,185100,194800,180300,189400,1307326
2026-07-09,010130,1020000,1059000,991000,1003000,23548
2026-07-09,010140,21200,22150,20700,20950,5401486
2026-07-09,010950,130100,134300,128000,133500,443813
2026-07-09,011070,763000,792000,702000,741000,397540
2026-07-09,011200,19970,20150,19320,19320,1704499
2026-07-09,012330,486000,486500,455000,465000,384154
2026-07-09,012450,1035000,1057000,927000,953000,274999
2026-07-09,0126Z0,386000,391000,364500,368500,52748
2026-07-09,015760,36650,37200,35050,35200,2061114
2026-07-09,016360,114100,114700,104500,106600,503290
2026-07-09,0167A0,20885,21400,19580,20555,34897584
2026-07-09,017670,85700,89000,85300,86700,1227995
2026-07-09,018260,194500,196200,186100,188300,304373
2026-07-09,018880,3575,3610,3320,3570,6302043
2026-07-09,024110,21150,21200,20500,20500,1245909
2026-07-09,028050,43550,44650,41400,42050,2636880
2026-07-09,028260,400500,414500,373500,378500,885778
2026-07-09,030200,55700,58000,53300,58000,849385
2026-07-09,032830,336000,346000,317500,326000,770711
2026-07-09,033780,184500,185000,174600,176400,345359
2026-07-09,034020,74100,77000,71600,73200,3641029
2026-07-09,034730,615000,633000,588000,610000,277469
2026-07-09,035420,191500,193200,184000,184400,1207585
2026-07-09,035720,34700,35100,33400,33650,1884454
2026-07-09,039490,342500,343000,301000,315000,138618
2026-07-09,042660,82600,84800,77700,78600,4572496
2026-07-09,042700,201500,223000,201500,215500,1361588
2026-07-09,047040,15830,16210,15000,16040,5973320
2026-07-09,047050,48300,49650,47050,48700,616348
2026-07-09,047810,141400,158600,139100,150000,756875
2026-07-09,051910,257000,266000,248500,251500,286285
2026-07-09,055550,108700,109700,104000,105000,1832789
2026-07-09,062040,179800,185400,169000,179600,241174
2026-07-09,064350,169200,172900,158600,160600,576242
2026-07-09,064400,71200,72700,68600,69100,1324415
2026-07-09,066570,195000,195400,175400,178000,2127439
2026-07-09,068270,176700,178000,171000,173100,609649
2026-07-09,069500,121315,122080,113760,117700,24312521
2026-07-09,071050,243000,243500,215500,222500,261086
2026-07-09,079550,707000,723000,653000,694000,215465
2026-07-09,086280,190500,193000,182100,184300,273158
2026-07-09,086790,124100,125000,119200,122600,1174592
2026-07-09,091160,140165,145095,134665,140600,2027873
2026-07-09,096770,101300,103400,98000,99000,363622
2026-07-09,102110,121125,122100,113825,117880,6811690
2026-07-09,105560,175900,176000,169400,171400,2385649
2026-07-09,122630,152650,154860,134750,144420,14738189
2026-07-09,133690,195100,196475,194655,196280,2165141
2026-07-09,138040,114700,114700,109600,112900,314557
2026-07-09,161390,74000,74200,67100,70700,384507
2026-07-09,180640,139000,139000,125800,126000,190021
2026-07-09,207940,1378000,1379000,1304000,1325000,51344
2026-07-09,259960,249500,249500,232500,238500,122697
2026-07-09,267250,197500,200500,185000,189400,200513
2026-07-09,267260,820000,840000,780000,815000,252571
2026-07-09,272210,64500,69100,63500,64700,1041508
2026-07-09,278470,398000,400000,360000,365500,358788
2026-07-09,278530,43735,44110,41120,42520,1661341
2026-07-09,298040,2750000,2890000,2650000,2770000,72738
2026-07-09,307950,439500,454000,418000,433000,110377
2026-07-09,316140,31150,31350,30000,30050,2599452
2026-07-09,323410,22050,22250,20800,21600,1294161
2026-07-09,326030,81000,82800,79200,80200,170543
2026-07-09,329180,519000,533000,495500,507000,401921
2026-07-09,352820,229500,230000,211500,216000,331429
2026-07-09,353200,106800,114900,106800,112000,827691
2026-07-09,360750,27920,28100,27830,28075,37450253
2026-07-09,373220,316000,333500,309500,313500,505757
2026-07-09,379800,25435,25615,25370,25585,33971741
2026-07-09,379810,29210,29427,29155,29390,11673033
2026-07-09,381180,49465,50200,49175,50200,4539251
2026-07-09,396500,40030,41405,38375,40170,9553791
2026-07-09,402340,1323000,1385000,1258000,1327000,924212
2026-07-09,443060,197900,203500,187700,189300,183514
2026-07-09,459580,1074350,1074355,1074350,1074355,641468
2026-07-09,488770,104865,104870,104865,104870,822232
